ticker	close_price	day_1	day_5	df_size	skew_1	skew_60	skew_120	cutoff_1	cutoff_60	cutoff_120	created_date	longName	industry	sector	url
AMP	278.489990234375	278.0837699666549	278.11990483539324	1643.0	-0.0858057665060112	-0.6763837793023104	-1.183999941835002	13.333333333333334	0.0	0.0	20220528.0	Ameriprise Financial, Inc.	Asset Management	Financial Services	https://www.ameriprise.com
ABC	156.86000061035156	156.73490278176814	156.60355483353777	1643.0	-1.0648902905048612	0.0227435345291468	0.1344326121157996	11.666666666666666	7.000000000000001	15.5	20220528.0	AmerisourceBergen Corporation	Medical Distribution	Healthcare	https://www.amerisourcebergen.com
AME	122.45999908447266	122.28029828208487	122.29497773534501	1643.0	-0.7986535080572053	0.7530993635170233	-0.7807316250996501	5.0	0.0	6.0	20220528.0	AMETEK, Inc.	Specialty Industrial Machinery	Industrials	https://www.ametek.com
APH	71.33000183105469	71.26628828062653	71.26904281151575	1643.0	-0.1294910457241816	-0.2604290521636105	-0.7612617417852497	20.0	2.5	10.5	20220528.0	Amphenol Corporation	Electronic Components	Technology	https://www.amphenol.com
ANSS	264.6199951171875	263.4527639343825	264.10401413240663	1643.0	0.227158376672752	-0.21337164808782	-0.893231999818743	28.33333333333333	38.5	28.5	20220528.0	ANSYS, Inc.	Software—Application	Technology	https://www.ansys.com
ANTM	520.5499877929688	521.2724920011373	520.4944626995572	1643.0	-0.8947974283732637	-0.3447012822548284	-0.178758489897408	5.0	0.5	0.0	20220528.0	Anthem, Inc.	Healthcare Plans	Healthcare	https://www.antheminc.com
AOS	61.220001220703125	61.220001220703125	61.220001220703125	1643.0	-0.3130772232925661	0.2597734148395891	-1.23637880731602	15.0	28.000000000000004	12.0	20220528.0	A. O. Smith Corporation	Specialty Industrial Machinery	Industrials	https://www.aosmith.com
AON	281.67999267578125	281.84337616656677	282.48681161880995	1643.0	-1.4002381546064029	-0.1279577728395046	-0.4415714568024619	16.666666666666664	22.0	11.0	20220528.0	Aon plc	Insurance Brokers	Financial Services	https://www.aon.com
APA	47.619998931884766	47.619998931884766	47.619998931884766	1643.0	-1.2443136398049202	-1.0480031385770916	-0.9015720663015264	10.0	0.0	0.0	20220528.0	APA Corporation	Oil & Gas E&P	Energy	https://apacorp.com
APTV	104.3499984741211	104.70547955207182	104.4933672543481	1643.0	0.2320838096814407	-0.4103244944092407	-0.8268264697804744	23.33333333333333	23.0	21.0	20220528.0	Aptiv PLC	Auto Parts	Consumer Cyclical	https://www.aptiv.com
ADM	88.93000030517578	88.93000030517578	88.93000030517578	1643.0	-0.8474087253259923	-0.2255204623004214	0.0853178304243309	18.33333333333333	17.5	12.0	20220528.0	Archer-Daniels-Midland Company	Farm Products	Consumer Defensive	https://www.adm.com
ANET	105.87000274658203	105.87000274658203	105.87000274658203	1643.0	-0.1239529002036287	0.5411059865845593	-1.3929520160069917	18.33333333333333	11.5	3.0	20220528.0	Arista Networks, Inc.	Computer Hardware	Technology	https://www.arista.com
AJG	165.63999938964844	166.44596513356458	166.02523709576784	1643.0	-0.7812994938994328	-0.1653981947953536	-1.186086064030785	26.666666666666668	0.5	0.0	20220528.0	Arthur J. Gallagher & Co.	Insurance Brokers	Financial Services	https://www.ajg.com
AIZ	181.41000366210938	181.28546696650815	181.44470923087113	1643.0	-0.9533114292817496	0.2771047457529673	0.2960397019077458	3.333333333333333	2.0	0.0	20220528.0	Assurant, Inc.	Insurance—Specialty	Financial Services	https://www.assurant.com
ATO	117.63999938964844	117.46450073295108	117.04965627030481	1643.0	-0.0195358530527472	-0.3147042882646632	-0.0027758103772159	5.0	15.5	27.0	20220528.0	Atmos Energy Corporation	Utilities—Regulated Gas	Utilities	https://www.atmosenergy.com
AZO	2055.389892578125	2075.088904117336	2060.6087659248446	1643.0	-1.41073344572862	-0.2030107502501332	-0.3482131760605389	21.666666666666668	1.0	1.0	20220528.0	AutoZone, Inc.	Specialty Retail	Consumer Cyclical	https://www.autozone.com
AVB	210.91000366210938	210.88429985395925	211.0052051505367	1643.0	-0.2224406574608215	-1.3025835321349546	-1.6209239208692523	13.333333333333334	6.0	0.0	20220528.0	AvalonBay Communities, Inc.	REIT—Residential	Real Estate	https://www.avalonbay.com
AVY	173.61000061035156	173.46322368778556	171.8777653691646	1643.0	-0.3524300619867455	-0.6936807592358926	-0.0100944645656542	18.33333333333333	26.5	34.5	20220528.0	Avery Dennison Corporation	Business Equipment & Supplies	Industrials	https://www.averydennison.com
BKR	37.18000030517578	37.18000030517578	37.18000030517578	1643.0	0.1363158584079012	-0.0890223227906878	-0.4409010141454672	15.0	3.0	0.5	20220528.0	Baker Hughes Company	Oil & Gas Equipment & Services	Energy	https://www.bakerhughes.com
BLL	73.7300033569336	73.7300033569336	73.7300033569336	1643.0	-0.9434796169802904	-1.0143641792158844	-1.4492030206420023	15.0	11.5	9.0	20220528.0	Ball Corporation	Packaging & Containers	Consumer Cyclical	https://www.ball.com
BALY	26.65999984741211	26.65999984741211	26.65999984741211	679.0	-0.4582536852399985	-0.2711601739100182	-0.1795676491418334	6.666666666666667	0.5	0.0	20220528.0	Bally's Corporation	Resorts & Casinos	Consumer Cyclical	https://www.ballys.com
BAX	76.16000366210938	76.1148610920156	76.11933778985743	1643.0	-1.283762398789586	-0.446756056885097	0.7417206801112959	15.0	17.5	4.0	20220528.0	Baxter International Inc.	Medical Instruments & Supplies	Healthcare	https://www.baxter.com
BDX	256.4599914550781	256.21214273113014	256.2267412055767	1643.0	-0.6960889026746323	-0.0963752968817723	-0.2638767697454939	13.333333333333334	0.0	1.5	20220528.0	Becton, Dickinson and Company	Medical Instruments & Supplies	Healthcare	https://www.bd.com
BBY	83.98999786376953	83.98999786376953	83.98999786376953	1643.0	-0.2177686450425471	-0.6841555405630314	-0.6272071590906653	20.0	12.5	18.5	20220528.0	Best Buy Co., Inc.	Specialty Retail	Consumer Cyclical	https://investors.bestbuy.com/investor-relations/overview/default.aspx
BWA	39.72999954223633	39.72999954223633	39.72999954223633	1643.0	-0.2567359022557861	-0.1741556704731391	-0.1989396714220222	13.333333333333334	1.0	0.0	20220528.0	BorgWarner Inc.	Auto Parts	Consumer Cyclical	https://www.borgwarner.com
BXP	112.68000030517578	112.94309016311465	113.02489868182212	1643.0	-0.622743503622178	-0.247510811418801	-0.6451247070176874	10.0	0.0	0.0	20220528.0	Boston Properties, Inc.	REIT—Office	Real Estate	https://www.bostonproperties.com
BSX	41.20000076293945	41.162861813703266	41.10871657777733	1643.0	-0.5583560178232215	-0.4037433744848197	0.6820473793033238	15.0	2.0	0.0	20220528.0	Boston Scientific Corporation	Medical Devices	Healthcare	https://www.bostonscientific.com
AVGO	583.280029296875	579.9802605405838	581.7803125078958	1643.0	-0.0677710450417305	0.5583782704849267	-0.0066180421339488	20.0	5.0	0.5	20220528.0	Broadcom Inc.	Semiconductors	Technology	https://www.broadcom.com
BR	146.8000030517578	146.5988903100217	146.61468195855002	1643.0	-0.722898072424705	-0.5637172442744701	-0.192627730815954	15.0	21.0	18.5	20220528.0	Broadridge Financial Solutions, Inc.	Information Technology Services	Technology	https://www.broadridge.com
BF-B	66.55999755859375	66.50019752042859	66.35285461480211	1643.0	-1.8529948433009404	-0.0771634171069686	-0.2448033983845222	10.0	9.5	1.0	20220528.0	Brown-Forman Corporation	Beverages—Wineries & Distilleries	Consumer Defensive	https://www.brown-forman.com
CHRW	107.44999694824219	107.33052546139722	106.85758219335099	1643.0	-0.0161699621852855	0.2494375499430704	-0.0975278672553763	16.666666666666664	6.0	0.0	20220528.0	C.H. Robinson Worldwide, Inc.	Integrated Freight & Logistics	Industrials	https://www.chrobinson.com
COG		e	r												
CDNS	156.24000549316406	155.4697939372784	155.54091464478182	1643.0	-0.1650366371874776	-0.5838024106443629	-0.3410406032819412	25.0	22.5	22.0	20220528.0	Cadence Design Systems, Inc.	Software—Application	Technology	https://www.cadence.com
CPB	48.209999084472656	48.209999084472656	48.209999084472656	1643.0	-2.07566988853964	-0.2576106060517551	0.0747219331905676	10.0	3.0	1.0	20220528.0	Campbell Soup Company	Packaged Foods	Consumer Defensive	https://www.campbellsoupcompany.com
CAH	57.70000076293945	57.73235401924455	57.7163379664482	1643.0	0.588098517296156	-0.2892170902876364	0.3159007763173968	10.0	10.5	13.0	20220528.0	Cardinal Health, Inc.	Medical Distribution	Healthcare	https://www.cardinalhealth.com
KMX	100.29000091552734	100.29000091552734	100.29000091552734	1643.0	-0.64366597401253	-0.2591774469336212	-0.4351070796082704	20.0	18.0	24.5	20220528.0	CarMax, Inc.	Auto & Truck Dealerships	Consumer Cyclical	https://www.carmax.com
CBRE	84.05000305175781	84.05000305175781	84.05000305175781	1643.0	-0.1217200637985374	-0.5459229654164739	-0.7718372027882329	10.0	4.0	3.5000000000000004	20220528.0	CBRE Group, Inc.	Real Estate Services	Real Estate	https://www.cbre.com
CE	159.2100067138672	159.10382498338055	159.10698649603341	1643.0	0.2735630511462331	-0.3879888730929806	-0.3209380204167502	11.666666666666666	0.0	0.0	20220528.0	Celanese Corporation	Chemicals	Basic Materials	https://www.celanese.com
CNC	84.41000366210938	84.28118165707961	84.2874466944637	1643.0	-0.7877783125436176	-0.3082203798996937	0.3381041158447888	6.666666666666667	5.5	0.0	20220528.0	Centene Corporation	Healthcare Plans	Healthcare	https://www.centene.com
CNP-PB		e	r												
CNP	32.41999816894531	32.46157856842434	32.48387003041153	1643.0	0.0576484645658434	0.5743295386330494	0.5211962836487062	0.0	0.0	0.0	20220528.0	CenterPoint Energy, Inc.	Utilities—Regulated Electric	Utilities	https://www.centerpointenergy.com
CF	95.72000122070312	95.72000122070312	95.72000122070312	1643.0	-0.4990416854760046	-1.035743664182269	-0.4161820481596844	18.33333333333333	7.5	2.5	20220528.0	CF Industries Holdings, Inc.	Agricultural Inputs	Basic Materials	https://www.cfindustries.com
CMG	1402.4200439453125	1402.4200439453125	1402.4200439453125	1643.0	-0.3516902221042339	0.7143316924373717	-0.085880826258653	16.666666666666664	0.5	0.0	20220528.0	Chipotle Mexican Grill, Inc.	Restaurants	Consumer Cyclical	https://www.chipotle.com
CB	210.88999938964844	210.60156275444476	210.78568536429634	1643.0	-0.0124826446933664	-0.3874418867134434	0.3601416164263581	10.0	0.0	0.0	20220528.0	Chubb Limited	Insurance—Property & Casualty	Financial Services	https://www.chubb.com/us-en
CHD	90.33000183105469	90.29246314350884	90.28302272561969	1643.0	-1.8896379013157043	0.6277177085527814	-0.4302411959164556	10.0	10.5	0.0	20220528.0	Church & Dwight Co., Inc.	Household & Personal Products	Consumer Defensive	https://www.churchdwight.com
CI	272.3999938964844	272.20336886331114	271.2865891385398	1643.0	-0.1643316257526115	-0.7848424054075415	-0.0090533507578308	8.333333333333332	6.0	5.0	20220528.0	Cigna Corporation	Healthcare Plans	Healthcare	https://www.cigna.com
CINF	128.4199981689453	128.23830709779665	128.25971288850292	1643.0	-1.6769899773090244	1.028233826574015	0.2466683841214135	6.666666666666667	0.0	0.0	20220528.0	Cincinnati Financial Corporation	Insurance—Property & Casualty	Financial Services	https://www.cinfin.com
CTAS	396.9100036621094	397.0542131747409	398.88068014388983	1643.0	-0.5564714045556485	-0.8091105772801293	-0.4238046734509827	8.333333333333332	9.0	6.5	20220528.0	Cintas Corporation	Specialty Business Services	Industrials	https://www.cintas.com
CFG	40.869998931884766	40.85996345618937	40.889338351042404	1643.0	0.508869307588654	-0.9666360790798588	-0.4375440855396801	6.666666666666667	4.5	0.0	20220528.0	Citizens Financial Group, Inc.	Banks—Regional	Financial Services	https://www.citizensbank.com
